Artist,Track,URL,MP3_Path,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
EXO,Obsession,https://open.spotify.com/track/7fK0csBoqbcgUuWGV0cpoD,./downloaded_mp3/EXO_Obsession.mp3,68,68,42.5,19.81,8,340,0.08,-1.75
SixTONES,Imitation Rain,https://open.spotify.com/track/03TJRLzsaDf9KqQShGgVg9,./downloaded_mp3/SixTONES_Imitation Rain.mp3,64,100,52.42,27.84,52,2726,-0.07,-1.44
平井堅,#302,https://open.spotify.com/track/6dhjkceaqWFvUje54DpL6E,./downloaded_mp3/平井堅_#302.mp3,59,83,47.83,26.67,6,287,-0.22,-1.53
MAMAMOO,HIP,https://open.spotify.com/track/2z3jaQnxmksxb0dBDDFVf2,./downloaded_mp3/MAMAMOO_HIP.mp3,24,62,35.87,14.74,31,1112,-0.61,-0.1
PRODUCE 101 JAPAN,YOUNG,https://open.spotify.com/track/21mbTUfwYD8UC7YQx5d7Yl,./downloaded_mp3/PRODUCE 101 JAPAN_YOUNG.mp3,82,82,56.0,39.13,3,168,-0.37,-2.33
EXILE,"愛のために 〜for love, for a child〜",https://open.spotify.com/track/413hyUXuVPG7rphYbDAicx,"./downloaded_mp3/EXILE_愛のために 〜for love, for a child〜.mp3",72,94,53.57,29.12,7,375,-0.19,-1.37
Snow Man,D.D.,https://open.spotify.com/track/1aUuEO2zNz6HQfoeXwV5c0,./downloaded_mp3/Snow Man_D.D..mp3,67,99,63.6,29.4,45,2862,-0.76,-0.91
嵐,A-RA-SHI : Reborn,https://open.spotify.com/track/0HvWmBkbmbm07pMvjahFbv,./downloaded_mp3/嵐_A-RA-SHI : Reborn.mp3,99,99,57.5,38.2,6,345,-0.12,-1.83
豆柴の大群,りスタート,https://open.spotify.com/track/6dUBH1HI4GzgexNVemI8U0,./downloaded_mp3/豆柴の大群_りスタート.mp3,98,98,68.0,24.83,4,272,0.0,-1.93
King Gnu,Teenager Forever,https://open.spotify.com/track/7wnOPAiqvIG4dTvEInj0YT,./downloaded_mp3/King Gnu_Teenager Forever.mp3,91,96,64.86,25.38,35,2270,-0.82,-0.18
嵐,カイト,https://open.spotify.com/track/5lo3L98nR2VpN2dM9UFJu0,./downloaded_mp3/嵐_カイト.mp3,15,100,46.16,29.03,38,1754,0.03,-1.38
東方神起,まなざし,https://open.spotify.com/track/4QxkpkSaCCtIfymERu2VVa,./downloaded_mp3/東方神起_まなざし.mp3,95,95,73.67,20.13,3,221,0.13,-2.33
SixTONES,Telephone,https://open.spotify.com/track/2nAu02GzoTD0aXEAa4cgwz,./downloaded_mp3/SixTONES_Telephone.mp3,85,85,37.35,29.15,17,635,0.14,-1.75
SixTONES,NEW WORLD,https://open.spotify.com/track/3T8b6zBv204yuWmseuklFq,./downloaded_mp3/SixTONES_NEW WORLD.mp3,84,84,41.17,27.02,12,494,-0.08,-1.62
Snow Man,Crazy F-R-E-S-H Beat,https://open.spotify.com/track/1h0rVXtYbZ2LEqKcpJFDUL,./downloaded_mp3/Snow Man_Crazy F-R-E-S-H Beat.mp3,83,83,58.82,15.59,22,1294,-0.91,0.8
BTS,Black Swan,https://open.spotify.com/track/6wH3AP7b01vpzKYRJhreMy,./downloaded_mp3/BTS_Black Swan.mp3,70,70,42.89,21.54,9,386,-0.06,-1.46
King Gnu,どろん,https://open.spotify.com/track/5KQUugWVoDTgHXSN7UU5Qb,./downloaded_mp3/King Gnu_どろん.mp3,66,95,63.0,21.35,24,1512,-0.32,-1.29
King Gnu,ユーモア,https://open.spotify.com/track/0zXSk9N3L7XQb8GXwhjlXt,./downloaded_mp3/King Gnu_ユーモア.mp3,63,75,55.0,12.69,7,385,0.15,-1.51
King Gnu,小さな惑星,https://open.spotify.com/track/6Sk8FdL95YNN8Xru87BWez,./downloaded_mp3/King Gnu_小さな惑星.mp3,62,76,46.18,26.24,11,508,-0.4,-1.78
ジェジュン,Ray of Light,https://open.spotify.com/track/4mPYbhGyC5sVwvkNuuAhGU,./downloaded_mp3/ジェジュン_Ray of Light.mp3,60,70,39.93,19.31,14,559,-0.13,-1.25
三浦大知,I'm Here,https://open.spotify.com/track/5PYwENRSNMq2fe2dL8RHjn,./downloaded_mp3/三浦大知_I'm Here.mp3,48,78,44.5,24.84,4,178,0.38,-1.98
King Gnu,Overflow,https://open.spotify.com/track/5HdBTRrqGoju7DIZ0GkNYG,./downloaded_mp3/King Gnu_Overflow.mp3,47,60,27.2,25.81,5,136,0.16,-2.09
iri,24-25,https://open.spotify.com/track/3TgEdA5yQSKLyMCiHIYVUv,./downloaded_mp3/iri_24-25.mp3,43,43,21.33,18.77,3,64,0.38,-2.33
日向坂46,ソンナコトナイヨ,https://open.spotify.com/track/5uKV5ukcJrMW76Zo53beKm,./downloaded_mp3/日向坂46_ソンナコトナイヨ.mp3,41,100,50.33,33.51,12,604,-0.1,-1.47
ジェジュン,Brava!! Brava!! Brava!!,https://open.spotify.com/track/2UCq0ttD14PU4REgAPOnhM,./downloaded_mp3/ジェジュン_Brava!! Brava!! Brava!!.mp3,37,96,34.58,27.53,19,657,0.69,-0.82
FAITH,Party All Night,https://open.spotify.com/track/6kphW6COHjqknjAAelZxd4,./downloaded_mp3/FAITH_Party All Night.mp3,34,63,49.67,14.64,3,149,-0.16,-2.33
YUI (FLOWER FLOWER) × ミゾベリョウ(odol),ばらの花 × ネイティブダンサー,https://open.spotify.com/track/48TPAQGjRuGzARTHAaiWkD,./downloaded_mp3/YUI (FLOWER FLOWER) × ミゾベリョウ(odol)_ばらの花 × ネイティブダンサー.mp3,38,41,38.67,2.08,3,116,0.29,-2.33
iri,会いたいわ,https://open.spotify.com/track/5g1SvaEtzlKEqre9FbPQEc,./downloaded_mp3/iri_会いたいわ.mp3,7,16,8.75,5.85,4,35,0.09,-1.97
日向坂46,青春の馬,https://open.spotify.com/track/2xMqXmGpZCmD8AD4xBawVs,./downloaded_mp3/日向坂46_青春の馬.mp3,41,41,31.0,13.23,3,93,-0.32,-2.33
